customer_id,age,tenure_years,product_count,avg_balance,has_mortgage,salary_deposit_flag,digital_engagement,branch_visits_last_q,complaints_12m,nps_bucket,promo_exposure,fee_events_12m,rate_sensitivity,card_spend_monthly,quarter,state,wallet_share,next_state,wallet_share_next,age_group,tenure_group,balance_category,product_engagement,risk_score,wallet_share_delta,state_changed,life_stage,value_segment,digital_adoption,quarter_numeric
4128,24,9.14,5,28432.653366991857,1,1,0.6963958896328716,0,0,0,1,3,0.6241374669933619,1427.3941867903432,t1,STAY,0.9466,STAY,1.0,18-30,5-10y,High,32.20891876688986,0.912068733496681,0.0534,0,Young,Medium,None,1
2252,54,4.71,6,59447.54107,1,1,0.6156382486665753,1,0,-1,0,1,0.396654923,1197.0210482363489,t1,STAY,0.9028,STAY,0.9234,51-60,2-5y,VeryHigh,29.58469147459997,0.3983274615,0.02059999999999995,0,Mature,High,None,1
4560,61,10.98,3,7223.5325528535395,1,0,0.6047293456969031,2,0,-1,0,3,0.6090532715197026,4265.479788789187,t1,STAY,0.8867,STAY,0.857,60+,10+y,Low,25.38141880370907,0.9045266357598514,-0.02970000000000006,0,Mature,Medium,None,1
4479,76,9.71,4,36092.12072369974,1,0,0.4740046276458582,2,0,0,1,2,0.4218230178097597,2995.524001221487,t3,STAY,0.8788,STAY,0.9637,60+,5-10y,High,25.742201388293758,0.6109115089048799,0.08489999999999998,0,Senior,Medium,None,3
4656,31,4.12,1,11902.3897,0,0,0.4361149774936919,1,0,0,0,1,0.649360779,806.6218956848782,t1,STAY,0.9681,STAY,0.8766,31-40,2-5y,Low,27.530834493248108,0.5246803895000001,-0.09149999999999991,0,Mature,Low,None,1
1158,74,4.74,7,70489.5339,0,0,0.7992710276471793,4,0,-1,1,2,0.602678216,1825.4189877482129,t2,SPLIT,0.3261,STAY,1.0,60+,2-5y,VeryHigh,21.039781308294152,0.701339108,0.6738999999999999,1,Senior,High,None,2
4403,44,16.01,7,24649.571443227313,1,1,0.3499844534018493,2,0,-1,0,1,0.2470793716516401,1605.0801171551318,t2,STAY,1.0,STAY,0.8618,41-50,10+y,High,26.904995336020555,0.32353968582582004,-0.1382,0,Family,Medium,None,2
529,79,4.61,1,34916.029802446705,1,1,0.1951414139975094,0,0,1,1,4,0.6221520001252371,1070.9603676430409,t2,STAY,0.8704,STAY,0.9156,60+,2-5y,High,30.45854242419925,1.1110760000626185,0.04520000000000002,0,Senior,Medium,None,2
370,69,7.4,2,7683.408609115433,1,1,0.5624581669663521,3,0,0,0,3,0.5997458050793544,4175.387522420389,t2,STAY,0.9278,STAY,0.7695,60+,5-10y,Low,21.968737450089904,0.8998729025396772,-0.1583,0,Senior,Medium,None,2
167,39,19.4,6,27502.944747356098,0,0,1.0,0,0,-1,0,3,0.320012767,1558.8367905833502,t1,STAY,0.7579,STAY,0.8018,31-40,10+y,High,32.7,0.7600063835,0.04389999999999994,0,Mature,Medium,None,1
3371,84,4.43,5,9656.514630052408,1,0,0.5052271391984131,1,0,0,1,4,0.6344773793310093,3962.839344512188,t2,STAY,0.9274,STAY,0.8885,60+,2-5y,Low,29.151568141759522,1.1172386896655047,-0.038900000000000046,0,Senior,Medium,None,2
4599,82,7.8,2,15914.92616045084,1,1,0.823455988,0,0,0,0,2,0.333159617244922,477.17882556990634,t0,LEAVE,0.0609,STAY,0.8509,60+,5-10y,Medium,31.0470367964,0.566579808622461,0.79,1,Senior,Medium,None,0
4517,41,1.11,7,71306.46039647485,1,0,0.5350851985991516,3,0,0,1,2,0.2403346820434578,849.3307294508951,t1,STAY,0.8558,STAY,0.8737,41-50,0-2y,VeryHigh,23.960525559579747,0.5201673410217289,0.017900000000000027,0,Family,High,None,1
861,82,2.04,1,31288.627968404577,1,1,0.7836230275934939,3,0,0,0,2,1.0,2806.0292202435207,t3,STAY,0.8363,STAY,0.9167,60+,2-5y,High,21.635086908278048,0.9,0.08039999999999992,0,Senior,Medium,None,3
141,83,5.94,2,6523.060694813586,0,1,0.2026104294651329,3,0,0,0,6,0.3189636891206052,1363.8676323307882,t0,STAY,0.9315,STAY,0.7528,60+,5-10y,Low,21.86078312883954,1.3594818445603027,-0.17869999999999997,0,Senior,Medium,None,0
411,29,12.52,7,12275.899704241496,0,0,0.4842417491882413,0,0,-1,1,5,0.5478605890641198,11605.928032668751,t2,STAY,0.841,STAY,0.9713,18-30,10+y,Low,32.945272524756476,1.2739302945320599,0.13030000000000008,0,Young,Medium,None,2
4525,71,1.37,2,58133.64961206053,0,0,0.6885558346096878,0,0,0,1,2,0.6448307601840919,1582.167390973614,t2,STAY,0.8763,STAY,0.9082,60+,0-2y,VeryHigh,31.006566750382905,0.722415380092046,0.03190000000000004,0,Senior,Medium,None,2
2772,20,12.41,5,46787.05278352617,1,0,0.485015062165065,0,1,-1,0,0,0.4624122155436562,374.80463717190946,t2,STAY,0.9423,STAY,0.8695,18-30,10+y,VeryHigh,32.14550451864952,0.5312061077718281,-0.07279999999999998,0,Young,Medium,None,2
1296,52,3.83,4,11558.573824201712,0,0,0.1105222845207333,2,0,0,1,0,0.6579297632151715,1087.6221715479587,t0,STAY,0.8669,STAY,0.9143,51-60,2-5y,Low,25.63315668535622,0.32896488160758575,0.0474,0,Mature,Medium,None,0
1446,20,8.22,7,6878.512719873949,0,0,0.9229979676114244,2,0,0,1,1,0.2884114207975496,771.8593558597992,t1,STAY,0.8411,STAY,0.8796,18-30,5-10y,Low,27.076899390283426,0.3442057103987748,0.03850000000000009,0,Young,Medium,None,1
555,83,3.26,3,36495.75951920236,0,0,0.6509301047049345,0,0,1,1,0,0.067325865,1899.8460511433384,t0,LEAVE,0.0506,STAY,0.9692,60+,2-5y,High,31.39527903141148,0.0336629325,0.9186,1,Senior,Medium,None,0
2687,34,2.9,3,34416.25481709962,0,1,0.5389747351344624,1,0,1,0,1,0.4146502246128919,6733.939271969836,t3,STAY,0.7771,STAY,0.8671,31-40,2-5y,High,28.36169242054034,0.40732511230644597,0.08999999999999997,0,Mature,Medium,None,3
4279,67,5.42,7,23693.603245110015,0,0,0.7114227149056216,4,0,1,1,1,0.3370192854311829,1696.3590050363612,t2,STAY,1.0,STAY,0.8993,60+,5-10y,High,21.013426814471686,0.3685096427155915,-0.10070000000000001,0,Senior,Medium,None,2
4712,71,5.99,2,15726.707965062442,1,0,0.3768959989370791,0,0,-1,0,4,0.3517221595032371,2151.190467832194,t1,SPLIT,0.247,STAY,0.8098,60+,5-10y,Medium,30.913068799681124,0.9758610797516186,0.5628,1,Senior,Medium,None,1
2843,69,8.11,3,29519.927280546843,0,0,0.5905680923181796,5,0,1,1,2,0.6891901686879548,1408.6565504246223,t0,LEAVE,0.0878,LEAVE,0.0542,60+,5-10y,High,16.377170427695454,0.7445950843439775,-0.033600000000000005,0,Senior,Medium,None,0
879,54,6.44,2,61087.35804186913,1,1,1.0,6,0,1,0,5,0.8782045125398281,2343.937933426057,t0,LEAVE,0.0924,SPLIT,0.4945,51-60,5-10y,VeryHigh,13.1,1.439102256269914,0.4021,1,Mature,Medium,None,0
998,42,5.95,3,23739.102751971954,1,0,0.9404445994623576,1,0,1,1,0,0.5265452311280281,5011.532506799712,t3,STAY,0.9935,STAY,0.862,41-50,5-10y,High,28.482133379838707,0.26327261556401405,-0.13150000000000006,0,Family,Medium,None,3
622,50,4.0,3,13373.889770234371,0,1,0.3637462570021366,2,0,-1,0,1,0.2451771485087601,1308.6664388082625,t0,STAY,0.9306,STAY,0.9873,41-50,2-5y,Medium,25.309123877100642,0.32258857425438003,0.05669999999999997,0,Mature,Medium,None,0
1692,77,2.77,7,41808.59392421247,1,0,0.4866482944568713,0,0,0,1,1,0.5214043846991643,1261.1213977102786,t2,STAY,0.9273,STAY,0.9401,60+,2-5y,VeryHigh,32.945994488337064,0.46070219234958215,0.012800000000000034,0,Senior,Medium,None,2
1853,48,4.88,4,58004.75947,1,1,0.917355564,2,0,1,0,1,0.7717167993330422,612.0023813668647,t3,STAY,0.7515,STAY,0.8632,41-50,2-5y,VeryHigh,25.8752066692,0.5858583996665211,0.11170000000000002,0,Family,High,None,3
2416,50,3.93,5,27586.10537844713,0,0,0.6953279145929253,1,0,0,0,2,0.2381694544693973,1140.6702673741286,t3,STAY,0.8301,SPLIT,0.1617,41-50,2-5y,High,29.20859837437788,0.5190847272346987,-0.6683999999999999,1,Mature,Medium,None,3
4355,50,1.72,3,39699.569508891815,1,1,0.8722812506990923,0,0,0,1,1,0.3300426721800695,3969.037863520943,t2,STAY,0.8962,STAY,0.8245,41-50,0-2y,VeryHigh,31.461684375209728,0.36502133609003473,-0.07169999999999999,0,Mature,Medium,None,2
1334,72,7.18,7,26268.62077460997,0,1,0.5322826771974489,3,0,0,1,3,0.6765125647432207,2056.4766873492636,t1,SPLIT,0.5041,STAY,0.97,60+,5-10y,High,23.959684803159234,0.9382562823716105,0.4659,1,Senior,Medium,None,1
503,82,4.07,6,16251.936956823429,0,0,0.2862727687974037,1,0,0,1,1,0.0,31101.09555684636,t3,STAY,0.8833,STAY,0.9638,60+,2-5y,Medium,29.485881830639222,0.2,0.08050000000000002,0,Senior,Medium,None,3
2044,68,3.49,7,15097.234113932544,0,1,0.2386977896623818,3,0,1,0,1,0.546487227,2196.307796267394,t2,STAY,0.8562,STAY,0.9224,60+,2-5y,Medium,23.871609336898715,0.4732436135,0.06620000000000004,0,Senior,Medium,None,2
200,82,9.77,7,70462.11757399619,0,1,1.0,6,0,0,1,2,0.1774560677558681,412.6296575792757,t3,STAY,0.8826,STAY,0.7971,60+,5-10y,VeryHigh,15.1,0.48872803387793406,-0.08550000000000002,0,Senior,High,None,3
143,36,4.8,5,29514.607417697825,1,1,1.0,3,1,0,1,2,0.2458490274032715,3061.897107,t2,STAY,0.7679,STAY,0.8504,31-40,2-5y,High,23.3,0.8229245137016357,0.08250000000000002,0,Family,Medium,None,2
1570,83,6.93,6,10575.34785787166,0,1,1.0,0,0,-1,0,0,0.4029497781380949,1385.7433473212614,t1,STAY,0.8347,STAY,0.8203,60+,5-10y,Low,32.7,0.20147488906904745,-0.014399999999999968,0,Senior,Medium,None,1
1834,22,4.31,1,13169.85099987679,0,1,0.3087277317749535,1,0,-1,0,3,0.4567720677192931,2672.9513414086837,t2,STAY,0.9136,STAY,0.974,18-30,2-5y,Medium,27.492618319532486,0.8283860338596466,0.06040000000000001,0,Young,Low,None,2
3925,60,11.19,1,9348.724395,0,0,0.5088937911794967,2,0,0,1,3,0.7135929246498213,1502.189068403012,t1,STAY,0.8087,STAY,0.9772,51-60,10+y,Low,24.552668137353848,0.9567964623249108,0.16849999999999998,0,Mature,Low,None,1
40,60,4.67,5,39485.97377540733,0,1,0.6068383575775159,1,0,0,1,3,0.3734811947412854,8182.155853,t0,LEAVE,0.0611,STAY,0.9097,51-60,2-5y,VeryHigh,29.182051507273254,0.7867405973706427,0.8485999999999999,1,Mature,Medium,None,0
910,24,11.95,6,34012.52703339479,0,1,0.2489270368195008,2,1,1,1,1,0.2863965983402969,12892.919070309248,t3,STAY,0.8231,STAY,0.9346,18-30,10+y,High,26.47467811104585,0.6431982991701485,0.11149999999999993,0,Young,Medium,None,3
2037,57,5.73,7,14303.268928284988,1,1,0.5033713989473072,0,1,1,0,3,0.4597770383279769,1430.7328598244103,t3,STAY,1.0,STAY,0.8975,51-60,5-10y,Medium,32.95101141968419,1.1298885191639885,-0.10250000000000004,0,Mature,Medium,None,3
1613,62,1.64,5,19249.482112238056,0,0,0.4730137447255275,2,0,1,0,1,0.6360174397525804,1843.884349377947,t1,SPLIT,0.4261,STAY,1.0,60+,0-2y,Medium,26.141904123417657,0.5180087198762902,0.5739000000000001,1,Mature,Medium,None,1
3494,67,2.69,6,44354.23195975924,0,1,0.7831689240894458,1,0,-1,1,4,0.3732229963574125,1169.260968790361,t1,STAY,0.8996,STAY,0.8476,60+,2-5y,VeryHigh,29.634950677226833,0.9866114981787063,-0.051999999999999935,0,Senior,Medium,None,1
1663,30,3.27,7,67959.30059001253,1,0,0.3445350599874319,2,0,1,0,2,0.2771469643659854,8032.384761460478,t1,STAY,0.9099,SPLIT,0.5816,18-30,2-5y,VeryHigh,26.90336051799623,0.5385734821829927,-0.32830000000000004,1,Family,High,None,1
4756,58,4.07,6,29443.011512417597,0,1,0.3776946605359172,5,0,1,1,6,0.6646823392667784,1452.127134328826,t0,SPLIT,0.5888,STAY,0.9314,51-60,2-5y,High,17.513308398160774,1.5323411696333893,0.3426,1,Mature,Medium,None,0
270,57,4.72,7,38596.98233424385,1,0,0.3267249318683567,0,0,0,0,3,0.6205818367166201,2647.1303947952497,t1,STAY,0.9199,STAY,0.9943,51-60,2-5y,High,32.89801747956051,0.9102909183583101,0.07439999999999991,0,Mature,Medium,None,1
4539,73,8.64,6,155975.00089601954,0,0,0.5218932358195131,0,1,0,1,1,0.735204408,919.0659283264592,t2,STAY,0.8843,STAY,0.8053,60+,5-10y,VeryHigh,32.55656797074585,0.867602204,-0.07899999999999996,0,Senior,High,None,2
1904,34,5.37,1,71180.49115462415,1,0,0.6646634250276047,2,1,0,0,0,0.3775586834698897,1154.5406333389828,t2,STAY,0.8554,STAY,0.9868,31-40,5-10y,VeryHigh,24.59939902750828,0.48877934173494486,0.13139999999999996,0,Family,Medium,None,2
3352,80,7.02,1,26994.660037103054,0,0,0.248945575874049,0,0,0,1,1,0.5804077386278135,1816.488597222905,t0,STAY,0.8443,STAY,0.9827,60+,5-10y,High,30.474683672762215,0.49020386931390675,0.13839999999999997,0,Senior,Medium,None,0
3857,42,6.19,7,16234.44350152026,0,0,0.2558116228585582,3,1,-1,0,0,0.4066514980991362,1195.3846496421204,t3,STAY,1.0,LEAVE,0.0697,41-50,5-10y,Medium,23.876743486857567,0.5033257490495681,-0.9303,1,Mature,Medium,None,3
4240,34,8.79,1,21913.77246225644,1,0,0.6122720122543062,2,1,1,0,4,0.1882895303942073,328.1387084165359,t3,STAY,0.7881,STAY,0.969,31-40,5-10y,Medium,24.583681603676293,1.1941447651971038,0.18089999999999995,0,Family,Medium,None,3
3118,61,7.69,6,145292.68326979695,1,1,0.5432695731593893,1,0,0,1,2,0.8848025164746891,2640.5407414113984,t1,STAY,0.8552,STAY,0.9736,60+,5-10y,VeryHigh,29.56298087194782,0.8424012582373446,0.11840000000000006,0,Mature,High,None,1
3971,49,5.48,3,44063.30911327817,0,0,0.5872310190712007,0,0,0,1,3,0.6934081942360664,1063.6918739647813,t1,STAY,0.9307,STAY,0.8712,41-50,5-10y,VeryHigh,31.376169305721362,0.9467040971180333,-0.0595,0,Mature,Medium,None,1
744,36,8.2,7,17027.601296431025,1,0,1.0,1,0,-1,1,1,0.2835849697624226,2496.755777800595,t2,STAY,0.8999,STAY,0.8494,31-40,5-10y,Medium,30.1,0.3417924848812113,-0.05049999999999999,0,Family,Medium,None,2
3372,33,7.02,7,22191.340914026943,1,0,0.4162799618113917,2,0,1,1,0,0.1176796726813804,800.1721800527756,t1,SPLIT,0.4728,STAY,0.7546,31-40,5-10y,Medium,26.924883988543417,0.0588398363406902,0.28180000000000005,1,Family,Medium,None,1
2455,73,10.02,4,97181.02955189238,1,0,0.8472532963105617,1,0,-1,0,2,0.8426568332743483,3077.663345285568,t3,STAY,0.9493,STAY,0.8307,60+,10+y,VeryHigh,28.854175988893168,0.8213284166371742,-0.11860000000000004,0,Senior,High,None,3
455,57,3.11,1,26040.840175946487,0,1,0.2889717661011138,2,0,0,1,3,0.6687901336666493,1604.7141104910982,t1,STAY,0.8464,SPLIT,0.3204,51-60,2-5y,High,24.486691529830335,0.9343950668333247,-0.526,1,Mature,Medium,None,1
2924,54,7.06,6,26731.79958625351,1,0,0.6401791574411179,1,0,-1,1,0,0.5319631013695492,1536.147995,t2,STAY,1.0,LEAVE,0.0633,51-60,5-10y,High,29.592053747232335,0.2659815506847746,-0.9367,1,Mature,Medium,None,2
1451,37,15.04,4,9587.212716,1,1,0.6405209740566157,0,1,0,1,2,0.2630268965530654,734.4984601205026,t3,STAY,0.9084,STAY,0.826,31-40,10+y,Low,31.792156292216983,0.8315134482765326,-0.08240000000000003,0,Family,Medium,None,3
267,47,3.16,1,6119.552080813765,0,0,0.5522189679892008,2,1,0,0,2,0.2126674455251161,3772.201068430816,t3,STAY,1.0,SPLIT,0.3277,41-50,2-5y,Low,24.56566569039676,0.806333722762558,-0.6723,1,Mature,Low,None,3
2830,26,5.12,3,11889.666607932875,0,1,0.301708494,2,0,-1,0,2,0.3962852406738574,870.0127013320981,t3,STAY,0.8933,STAY,0.8037,18-30,5-10y,Low,25.2905125482,0.5981426203369287,-0.08960000000000001,0,Young,Medium,None,3
4226,29,8.57,1,9238.487870316909,0,1,0.838757074,2,0,1,0,2,0.251327738824021,4343.261289900272,t0,LEAVE,0.0589,STAY,0.9846,18-30,5-10y,Low,24.6516271222,0.5256638694120105,0.9257000000000001,1,Young,Low,None,0
3209,46,4.09,2,4821.176473253592,1,1,0.6405313547087833,2,0,0,1,1,0.6230466503647919,2894.7364596072543,t1,SPLIT,0.9686,STAY,0.869,41-50,2-5y,Low,24.992159406412636,0.511523325182396,-0.09960000000000002,1,Family,Medium,None,1
3767,63,7.77,4,24813.775287932436,0,0,0.5255310457429461,0,0,0,0,3,0.4979251176245187,716.7040439912356,t3,STAY,0.9617,STAY,0.8836,60+,5-10y,High,31.757659313722883,0.8489625588122595,-0.07809999999999995,0,Mature,Medium,None,3
3461,45,3.58,7,44056.02404274275,1,1,0.9166011973618564,5,0,1,0,2,0.5224944325384523,2150.5343168843256,t3,STAY,0.7506,SPLIT,0.6144,41-50,2-5y,VeryHigh,18.074980359208556,0.6612472162692262,-0.1362000000000001,1,Family,Medium,None,3
116,56,7.08,1,42070.74903127559,1,1,0.4256135323127175,0,0,0,1,3,0.415902220023271,301.12882959567537,t3,STAY,0.885,STAY,0.9408,51-60,5-10y,VeryHigh,30.527684059693815,0.8079511100116356,0.05579999999999996,0,Mature,Medium,None,3
383,81,3.74,3,29364.62323663199,0,1,0.5018599116288049,2,0,1,0,2,0.4239649199299334,2713.429257743186,t2,STAY,1.0,STAY,0.9265,60+,2-5y,High,25.35055797348864,0.6119824599649667,-0.07350000000000001,0,Senior,Medium,None,2
2308,28,2.27,6,18946.838143455763,0,0,0.344186625960065,1,0,0,0,0,0.4552493895298337,1563.4371318992264,t2,STAY,0.8476,STAY,0.9896,18-30,2-5y,Medium,29.50325598778802,0.22762469476491684,0.14200000000000002,0,Young,Medium,None,2
3346,68,7.05,4,12598.43351673619,0,0,0.5676719757621961,1,0,1,1,2,0.693475759,197.9988140484366,t2,STAY,0.9796,STAY,0.8361,60+,5-10y,Low,28.770301592728657,0.7467378795,-0.14350000000000007,0,Senior,Medium,None,2
2479,23,1.26,5,12284.651709233092,1,0,0.6046632142918777,3,0,1,0,3,0.5908379506158641,9070.575918010543,t0,SPLIT,0.4063,STAY,0.7548,18-30,0-2y,Low,23.181398964287563,0.8954189753079321,0.34850000000000003,1,Young,Medium,None,0
4155,33,4.8,1,63638.62076778103,1,0,0.165627431153144,1,0,0,0,6,0.4430308069604477,829.6227110068794,t0,LEAVE,0.029,STAY,0.8175,31-40,2-5y,VeryHigh,27.449688229345945,1.421515403480224,0.7885,1,Family,Medium,None,0
1772,43,5.74,1,17922.761046032236,0,1,0.9443964748783096,1,0,-1,1,3,0.3488636053216492,1687.6399312015542,t0,SPLIT,0.5823,STAY,0.9174,41-50,5-10y,Medium,27.683318942463494,0.7744318026608247,0.33509999999999995,1,Mature,Low,None,0
2709,66,3.23,3,13849.38469158723,1,0,0.4466303506393106,0,1,-1,1,2,0.7192422017138103,917.3952711125308,t3,STAY,0.7698,STAY,1.0,60+,2-5y,Medium,31.333989105191794,1.059621100856905,0.23019999999999996,0,Senior,Medium,None,3
1888,45,3.24,2,31575.154968648458,0,0,0.1777506648996811,1,1,-1,1,1,0.5786124620372627,1471.1454191023258,t0,STAY,0.9239,STAY,0.8989,41-50,2-5y,High,27.853325199469904,0.7893062310186314,-0.025000000000000022,0,Mature,Medium,None,0
2113,79,2.76,3,75603.97191254991,1,1,0.3399741171191003,3,0,-1,1,1,0.8525899452694652,3492.553373509989,t0,STAY,0.8979,STAY,0.884,60+,2-5y,VeryHigh,22.30199223513573,0.6262949726347327,-0.013900000000000023,0,Senior,High,None,0
3838,58,2.63,6,26416.70099359592,0,1,0.463927263,1,1,0,1,5,0.5529998960658011,1352.496442,t0,SPLIT,0.4698,SPLIT,0.2313,51-60,2-5y,High,29.539178178900002,1.5764999480329007,-0.2385,0,Mature,Medium,None,0
